City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,11.83,IS,1685295257
1,constitucion,-35.3333,-72.4167,13.21,52,100,2.02,CL,1685295257
2,kodiak,57.79,-152.4072,7.73,57,75,2.57,US,1685295257
3,bethel,41.3712,-73.414,28.91,39,0,3.09,US,1685295257
4,arklow,52.7931,-6.1414,15.04,67,1,6.82,IE,1685295032
5,santiago del estero,-27.7951,-64.2615,15.39,44,93,2.45,AR,1685295257
6,prince rupert,54.3161,-130.3201,11.05,82,100,9.26,CA,1685295258
7,fairview,40.8126,-73.999,28.77,31,0,4.63,US,1685295258
8,vaini,-21.2,-175.2,24.09,88,20,5.14,TO,1685295258
9,castro,-24.7911,-50.0119,15.5,96,100,1.71,BR,1685295154
10,rikitea,-23.1203,-134.9692,22.16,64,98,7.73,PF,1685295258
11,ushuaia,-54.8,-68.3,8.81,71,0,6.17,AR,1685295258
12,shunyi,40.125,116.6453,19.97,88,0,1.0,CN,1685295258
13,tiksi,71.6872,128.8694,0.93,91,86,3.39,RU,1685295258
14,coahuayana,18.7333,-103.6833,33.94,47,5,3.94,MX,1685295258
15,port alfred,-33.5906,26.891,14.54,63,13,0.89,ZA,1685295258
16,mataura,-46.1927,168.8643,9.37,88,100,1.44,NZ,1685295258
17,alice springs,-23.7,133.8833,1.75,80,1,3.81,AU,1685295259
18,grindavik,63.8424,-22.4338,8.26,100,100,11.32,IS,1685295259
19,kapaa,22.0752,-159.319,21.18,92,100,3.09,US,1685295259
20,hithadhoo,-0.6,73.0833,28.28,73,21,2.49,MV,1685295193
21,arraial do cabo,-22.9661,-42.0278,25.98,57,0,4.63,BR,1685295259
22,kwinana,-32.25,115.7667,13.43,43,100,2.85,AU,1685295259
23,jackson,42.4165,-122.8345,22.44,65,75,2.06,US,1685295240
24,busselton,-33.65,115.3333,11.91,86,96,1.51,AU,1685295259
25,kachug,53.9606,105.8817,5.63,74,17,0.61,RU,1685295259
26,hobart,-42.8794,147.3294,11.92,72,75,4.63,AU,1685295259
27,sitka,57.0531,-135.33,8.94,93,100,7.72,US,1685295259
28,kavaratti,10.5669,72.642,30.2,70,95,6.43,IN,1685295259
29,verkhnyaya inta,65.9811,60.3094,13.08,59,100,5.61,RU,1685295260
30,labuhan,-6.8844,112.2051,25.64,74,52,4.42,ID,1685295260
31,leningradskiy,69.3833,178.4167,-1.05,95,100,1.84,RU,1685295260
32,semporna,4.4818,118.6112,26.62,86,71,1.32,MY,1685295260
33,bengkulu,-3.8004,102.2655,24.26,89,99,1.68,ID,1685295232
34,hofn,64.2539,-15.2082,12.11,72,99,2.25,IS,1685295260
35,praya,14.9215,-23.5087,27.3,61,0,10.8,CV,1685295014
36,kandrian,-6.2167,149.55,24.72,87,90,2.45,PG,1685295260
37,cimislia,46.52,28.7842,21.08,82,81,4.38,MD,1685295057
38,east london,-33.0153,27.9116,14.52,82,0,1.54,ZA,1685295260
39,leh,34.1667,77.5833,7.31,27,4,2.16,IN,1685295260
40,lebu,-37.6167,-73.65,10.11,64,100,2.79,CL,1685295261
41,cape town,-33.9258,18.4232,15.62,80,20,11.83,ZA,1685294618
42,lazaro cardenas,17.9583,-102.2,32.78,50,6,4.35,MX,1685295261
43,albany,42.6001,-73.9662,30.1,35,0,0.45,US,1685295261
44,coquimbo,-29.9533,-71.3436,18.85,63,0,3.09,CL,1685295261
